yyyymmhh hhmmss   FS261  TMM261   FS260
20151001 001000  20500.  13700.  20700.
20151001 002000  20400.  12900.  17000.
20151001 003000  18200.  12200.  15200.
20151001 004000  16300.  12200.  14500.
20151001 005000  15900.  11300.  14300.
20151001 010000  14800.  11200.  13600.
20151001 011000  14300.  10800.  13400.
20151001 012000  12800.  10200.  13000.
20151001 013000  13000.  10100.  12100.
20151001 014000  11900.   9410.  10300.
20151001 015000  10600.   8520.  10100.
20151001 020000  11400.   9010.  11300.
20151001 021000  12800.   9820.  11900.
20151001 022000  12200.   9560.  11300.
20151001 023000  11800.   9730.  10800.
20151001 024000  11600.   9900.  10600.
20151001 025000  12100.   9730.  10700.
20151001 030000  11300.   9170.  10200.
20151001 031000  10000.   8220.   9660.
20151001 032000  10100.   8190.   9120.
20151001 033000   9010.   7510.   9360.
20151001 034000   9010.   7150.   9030.
20151001 035000   8320.   6790.   8650.
20151001 040000   7340.   5960.   7810.
20151001 041000   7870.   6680.   7240.
20151001 042000   7730.   6130.   7030.
20151001 043000   7990.   6070.   7210.
20151001 044000   7660.   6070.   7040.
20151001 045000   7930.   6010.   7160.
20151001 050000   8360.   6340.   7370.
20151001 051000   8120.   5910.   7140.
20151001 052000   7430.   5520.   6670.
20151001 053000   8060.   5820.   6640.
20151001 054000   7410.   5390.   6750.
20151001 055000   6070.   4660.   6290.
20151001 060000   5550.   4580.   5730.
20151001 061000   5840.   4440.   5400.
20151001 062000   6140.   4650.   6360.
20151001 063000   8210.   6100.   7200.
20151001 064000   8480.   6460.   8070.
20151001 065000   9650.   7140.   9210.
20151001 070000  10900.   7640.   9800.
20151001 071000  11700.   8110.  10800.
20151001 072000  12600.   8140.  11900.
20151001 073000  13500.   8740.  13300.
20151001 074000  14600.   9310.  15000.
20151001 075000  18200.   9850.  17000.
20151001 080000  17400.  10000.  18200.
20151001 081000  23100.  10600.  19300.
20151001 082000  22800.  10700.  21200.
20151001 083000  24600.  10900.  26900.
20151001 084000  28700.  11000.  21900.
20151001 085000  27600.  11300.  21000.
20151001 090000  27000.  11500.  30200.
20151001 091000  23500.  12000.  28500.
20151001 092000  26500.  12300.  32900.
20151001 093000  33100.  12600.  32300.
20151001 094000  32600.  12800.  25100.
20151001 095000  26000.  12400.  29100.
20151001 100000  33000.  12500.  38700.
20151001 101000  31800.  12800.  40300.
20151001 102000  33500.  13300.  38800.
20151001 103000  24100.  13200.  33800.
20151001 104000  37000.  13800.  37700.
20151001 105000  39500.  13600.  40700.
20151001 110000  38800.  14100.  36200.
