yyyymmdd hhmmss   FS261  TMM261   FS260
20151101 001000   3420.   3380.   2700.
20151101 002000   2850.   3140.   2890.
20151101 003000   2770.   3010.   2730.
20151101 004000   2760.   2890.   2260.
20151101 005000   2760.   2600.   2430.
20151101 010000   2850.   2640.   2500.
20151101 011000   2800.   2680.   2390.
20151101 012000   2620.   2650.   2390.
20151101 013000   2540.   2610.   2340.
20151101 014000   2380.   2470.   2060.
20151101 015000   2310.   2330.   2260.
20151101 020000   2210.   2320.   2030.
20151101 021000   2270.   2310.   2040.
20151101 022000   2340.   2360.   1960.
20151101 023000   2330.   2220.   2030.
20151101 024000   1820.   1650.   1970.
20151101 025000   1850.   1610.    752.
20151101 030000   1480.   1250.    494.
20151101 031000    749.    860.    233.
20151101 032000    356.    395.    172.
20151101 033000    591.    535.    218.
20151101 034000    833.    828.    292.
20151101 035000    479.    542.    187.
20151101 040000    665.    883.    222.
20151101 041000    413.    410.    505.
20151101 042000    395.    394.    532.
20151101 043000    270.    301.    182.
20151101 044000    176.    168.    159.
20151101 045000    181.    201.    127.
20151101 050000    176.    201.    122.
20151101 051000    278.    349.    150.
20151101 052000    295.    346.    144.
20151101 053000    204.    216.    145.
20151101 054000    153.    166.    131.
20151101 055000    190.    204.    144.
20151101 060000    272.    310.    196.
20151101 061000    378.    415.    199.
20151101 062000    303.    355.    219.
20151101 063000    374.    417.    248.
20151101 064000    300.    331.    242.
20151101 065000    246.    260.    193.
20151101 070000    179.    193.    168.
20151101 071000    163.    174.    150.
20151101 072000    141.    152.    130.
20151101 073000    149.    165.    142.
20151101 074000    183.    194.    156.
20151101 075000    165.    180.    177.
20151101 080000    204.    235.    198.
20151101 081000    201.    269.    228.
20151101 082000    465.    575.    360.
20151101 083000   2310.   2140.   1280.
20151101 084000   2290.   2090.   1420.
20151101 085000   3300.   2840.   2730.
20151101 090000   5090.   4160.   4130.
20151101 091000   3980.   4680.   5680.
20151101 092000   6250.   4990.   6130.
20151101 093000   6820.   5000.   6070.
20151101 094000   7230.   5060.   6740.
20151101 095000   7040.   5080.   7160.
20151101 100000   6950.   5180.   7010.
20151101 101000   7210.   5250.   7540.
20151101 102000   7200.   5190.   7590.
20151101 103000   7670.   5120.   7320.
20151101 104000   6970.   5300.   7530.
20151101 105000   7480.   5040.   7360.
20151101 110000   7530.   4960.   7320.
20151101 111000   7750.   4990.   7460.
20151101 112000   7840.   5010.   7750.
20151101 113000   8090.   4980.   7650.
20151101 114000   7940.   5030.   7780.
20151101 115000   7770.   4940.   7770.
20151101 120000   6940.   4960.   7900.
20151101 121000   7050.   4950.   6460.
20151101 122000   7500.   4880.   5750.
20151101 123000   6570.   5080.   7760.
20151101 124000   7150.   4910.   7860.
20151101 125000   7040.   4920.   6100.
20151101 130000   5870.   4930.   7590.
20151101 131000   5490.   5070.   8200.
20151101 132000   5430.   5130.   7800.
20151101 133000   5730.   5290.   7940.
20151101 134000   5200.   5430.   8070.
20151101 135000   4810.   5250.   8320.
20151101 140000   5230.   5390.   7940.
20151101 141000   1720.   5410.   8290.
20151101 142000   3380.   5530.   8340.
20151101 143000   2880.   5550.   8100.
20151101 144000   4760.   5630.   8010.
20151101 145000   3080.   5720.   8240.
20151101 150000   2420.   5560.   7990.
20151101 151000   3410.   5490.   7630.
20151101 152000   3180.   5640.   7420.
20151101 153000   3580.   5660.   7260.
20151101 154000   3960.   5540.   7120.
20151101 155000   2780.   5160.   6930.
20151101 160000   2940.   4910.   6640.
20151101 161000   5550.   4300.   6290.
