"IT_DATETIME","DS_CODE","TOA.MOR_10","TOA.Q_MOR_10"
"20141231_240000_000000","290_A_a","5200","0"
"20150101_001000_000000","290_A_a","4870","0"
"20150101_002000_000000","290_A_a","3780","0"
"20150101_003000_000000","290_A_a","3500","0"
"20150101_004000_000000","290_A_a","3430","0"
"20150101_005000_000000","290_A_a","3460","0"
"20150101_010000_000000","290_A_a","3810","0"
"20150101_011000_000000","290_A_a","3920","0"
"20150101_012000_000000","290_A_a","3580","0"
"20150101_013000_000000","290_A_a","3090","0"
"20150101_014000_000000","290_A_a","2570","0"
"20150101_015000_000000","290_A_a","2430","0"
"20150101_020000_000000","290_A_a","2730","0"
"20150101_021000_000000","290_A_a","3090","0"
"20150101_022000_000000","290_A_a","3110","0"
"20150101_023000_000000","290_A_a","3160","0"
"20150101_024000_000000","290_A_a","3300","0"
"20150101_025000_000000","290_A_a","3170","0"
"20150101_030000_000000","290_A_a","3320","0"
"20150101_031000_000000","290_A_a","3780","0"
"20150101_032000_000000","290_A_a","4260","0"
"20150101_033000_000000","290_A_a","4310","0"
"20150101_034000_000000","290_A_a","4480","0"
"20150101_035000_000000","290_A_a","4870","0"
"20150101_040000_000000","290_A_a","4720","0"
"20150101_041000_000000","290_A_a","4470","0"
"20150101_042000_000000","290_A_a","4390","0"
"20150101_043000_000000","290_A_a","4300","0"
"20150101_044000_000000","290_A_a","4360","0"
"20150101_045000_000000","290_A_a","4380","0"
"20150101_050000_000000","290_A_a","4640","0"
"20150101_051000_000000","290_A_a","4850","0"
"20150101_052000_000000","290_A_a","4990","0"
"20150101_053000_000000","290_A_a","4920","0"
"20150101_054000_000000","290_A_a","4950","0"
"20150101_055000_000000","290_A_a","5290","0"
"20150101_060000_000000","290_A_a","5660","0"
"20150101_061000_000000","290_A_a","5900","0"
"20150101_062000_000000","290_A_a","6160","0"
"20150101_063000_000000","290_A_a","6420","0"
"20150101_064000_000000","290_A_a","6690","0"
"20150101_065000_000000","290_A_a","6970","0"
"20150101_070000_000000","290_A_a","7290","0"
"20150101_071000_000000","290_A_a","7390","0"
"20150101_072000_000000","290_A_a","7720","0"
"20150101_073000_000000","290_A_a","8060","0"
"20150101_074000_000000","290_A_a","7880","0"
"20150101_075000_000000","290_A_a","7300","0"
"20150101_080000_000000","290_A_a","7120","0"
"20150101_081000_000000","290_A_a","7110","0"
"20150101_082000_000000","290_A_a","7310","0"
"20150101_083000_000000","290_A_a","7580","0"
"20150101_084000_000000","290_A_a","7970","0"
"20150101_085000_000000","290_A_a","8130","0"
"20150101_090000_000000","290_A_a","8640","0"
"20150101_091000_000000","290_A_a","9070","0"
"20150101_092000_000000","290_A_a","9660","0"
"20150101_093000_000000","290_A_a","10000","0"
"20150101_094000_000000","290_A_a","10800","0"
"20150101_095000_000000","290_A_a","10800","0"
"20150101_100000_000000","290_A_a","11500","0"
"20150101_101000_000000","290_A_a","12300","0"
"20150101_102000_000000","290_A_a","12800","0"
"20150101_103000_000000","290_A_a","15300","0"
"20150101_104000_000000","290_A_a","15600","0"
"20150101_105000_000000","290_A_a","16500","0"
"20150101_110000_000000","290_A_a","15400","0"
"20150101_111000_000000","290_A_a","15100","0"
"20150101_112000_000000","290_A_a","15600","0"
"20150101_113000_000000","290_A_a","17700","0"
"20150101_114000_000000","290_A_a","15800","0"
"20150101_115000_000000","290_A_a","16600","0"
"20150101_120000_000000","290_A_a","15700","0"
"20150101_121000_000000","290_A_a","14600","0"
"20150101_122000_000000","290_A_a","14300","0"
"20150101_123000_000000","290_A_a","14100","0"
"20150101_124000_000000","290_A_a","13800","0"
"20150101_125000_000000","290_A_a","13500","0"
"20150101_130000_000000","290_A_a","15400","0"
"20150101_131000_000000","290_A_a","15800","0"
"20150101_132000_000000","290_A_a","17100","0"
"20150101_133000_000000","290_A_a","15700","0"
"20150101_134000_000000","290_A_a","18100","0"
"20150101_135000_000000","290_A_a","17100","0"
"20150101_140000_000000","290_A_a","20100","0"
"20150101_141000_000000","290_A_a","18300","0"
"20150101_142000_000000","290_A_a","18500","0"
"20150101_143000_000000","290_A_a","19400","0"
"20150101_144000_000000","290_A_a","17900","0"
"20150101_145000_000000","290_A_a","19300","0"
"20150101_150000_000000","290_A_a","20600","0"
"20150101_151000_000000","290_A_a","18400","0"
"20150101_152000_000000","290_A_a","20700","0"
"20150101_153000_000000","290_A_a","20300","0"
"20150101_154000_000000","290_A_a","20500","0"
"20150101_155000_000000","290_A_a","20900","0"
"20150101_160000_000000","290_A_a","18800","0"
"20150101_161000_000000","290_A_a","20200","0"
"20150101_162000_000000","290_A_a","21200","0"
"20150101_163000_000000","290_A_a","19900","0"
"20150101_164000_000000","290_A_a","21900","0"
"20150101_165000_000000","290_A_a","21300","0"
"20150101_170000_000000","290_A_a","21000","0"
"20150101_171000_000000","290_A_a","24100","0"
"20150101_172000_000000","290_A_a","22000","0"
"20150101_173000_000000","290_A_a","20700","0"
"20150101_174000_000000","290_A_a","22100","0"
"20150101_175000_000000","290_A_a","21600","0"
"20150101_180000_000000","290_A_a","22700","0"
"20150101_181000_000000","290_A_a","23100","0"
"20150101_182000_000000","290_A_a","22100","0"
"20150101_183000_000000","290_A_a","24600","0"
"20150101_184000_000000","290_A_a","23600","0"
