"IT_DATETIME","DS_CODE","TOA.MOR_10","TOA.Q_MOR_10"
"20151231_240000_000000","290_A_a","2540","0"
"20160101_001000_000000","290_A_a","3910","0"
"20160101_002000_000000","290_A_a","6430","0"
"20160101_003000_000000","290_A_a","8090","0"
"20160101_004000_000000","290_A_a","8460","0"
"20160101_005000_000000","290_A_a","8920","0"
"20160101_010000_000000","290_A_a","9720","0"
"20160101_011000_000000","290_A_a","9580","0"
"20160101_012000_000000","290_A_a","9630","0"
"20160101_013000_000000","290_A_a","9420","0"
"20160101_014000_000000","290_A_a","9110","0"
"20160101_015000_000000","290_A_a","9570","0"
"20160101_020000_000000","290_A_a","10100","0"
"20160101_021000_000000","290_A_a","10300","0"
"20160101_022000_000000","290_A_a","10000","0"
"20160101_023000_000000","290_A_a","9660","0"
"20160101_024000_000000","290_A_a","9850","0"
"20160101_025000_000000","290_A_a","9860","0"
"20160101_030000_000000","290_A_a","10400","0"
"20160101_031000_000000","290_A_a","10800","0"
"20160101_032000_000000","290_A_a","10300","0"
"20160101_033000_000000","290_A_a","9940","0"
"20160101_034000_000000","290_A_a","9270","0"
"20160101_035000_000000","290_A_a","9310","0"
"20160101_040000_000000","290_A_a","9320","0"
"20160101_041000_000000","290_A_a","9060","0"
"20160101_042000_000000","290_A_a","9160","0"
"20160101_043000_000000","290_A_a","8880","0"
"20160101_044000_000000","290_A_a","8730","0"
"20160101_045000_000000","290_A_a","8740","0"
"20160101_050000_000000","290_A_a","8160","0"
"20160101_051000_000000","290_A_a","7790","0"
"20160101_052000_000000","290_A_a","7280","0"
"20160101_053000_000000","290_A_a","7080","0"
"20160101_054000_000000","290_A_a","6650","0"
"20160101_055000_000000","290_A_a","6230","0"
"20160101_060000_000000","290_A_a","6110","0"
"20160101_061000_000000","290_A_a","5870","0"
"20160101_062000_000000","290_A_a","5740","0"
"20160101_063000_000000","290_A_a","5520","0"
"20160101_064000_000000","290_A_a","5180","0"
"20160101_065000_000000","290_A_a","4820","0"
"20160101_070000_000000","290_A_a","4630","0"
"20160101_071000_000000","290_A_a","4670","0"
"20160101_072000_000000","290_A_a","4540","0"
"20160101_073000_000000","290_A_a","4250","0"
"20160101_074000_000000","290_A_a","3780","0"
"20160101_075000_000000","290_A_a","3890","0"
"20160101_080000_000000","290_A_a","3380","0"
"20160101_081000_000000","290_A_a","3350","0"
"20160101_082000_000000","290_A_a","2930","0"
"20160101_083000_000000","290_A_a","3390","0"
"20160101_084000_000000","290_A_a","3420","0"
"20160101_085000_000000","290_A_a","3420","0"
"20160101_090000_000000","290_A_a","3190","0"
"20160101_091000_000000","290_A_a","3760","0"
"20160101_092000_000000","290_A_a","4130","0"
"20160101_093000_000000","290_A_a","4040","0"
"20160101_094000_000000","290_A_a","4240","0"
"20160101_095000_000000","290_A_a","4700","0"
"20160101_100000_000000","290_A_a","4970","0"
"20160101_101000_000000","290_A_a","5550","0"
"20160101_102000_000000","290_A_a","5850","0"
"20160101_103000_000000","290_A_a","6070","0"
"20160101_104000_000000","290_A_a","5980","0"
"20160101_105000_000000","290_A_a","5820","0"
"20160101_110000_000000","290_A_a","5210","0"
"20160101_111000_000000","290_A_a","4860","0"
"20160101_112000_000000","290_A_a","4450","0"
"20160101_113000_000000","290_A_a","3830","0"
